epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8458230495452881,0.0,1878.0,107.0,0.0,4170135.0,0.0,0.694179117679596,0.8696386218070984,0.032798320055007935,47.0,243.0,0.0,2529.0,0.0,0.502238392829895,0.0,460.0,0.0,0.0,1041460.0,0.0,0.5906516909599304,0.6017477512359619,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
1,0.5023194551467896,0.005790338385850191,1868.0,1566.0,0.006345177534967661,4168676.0,10.0,0.49729445576667786,0.07485954463481903,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5056699514389038,0.0035842019133269787,455.0,2325.0,0.0021459227427840233,1039135.0,5.0,0.3768324553966522,0.5707447528839111,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
2,0.49976396560668945,0.0011307189706712961,1870.0,12264.0,0.0006518904701806605,4157978.0,8.0,0.2716638743877411,0.5159229040145874,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5029988884925842,0.0023327853996306658,457.0,2109.0,0.0014204545877873898,1039351.0,3.0,0.21209487318992615,0.6332516670227051,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
3,0.5007593035697937,0.0013179243542253971,1872.0,7221.0,0.0008302200003527105,4163021.0,6.0,0.17748264968395233,0.2365064024925232,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5022498369216919,0.0021412905771285295,458.0,1406.0,0.0014204545877873898,1040054.0,2.0,0.15943214297294617,0.5895024538040161,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
4,0.5007492303848267,0.0011163443559780717,1874.0,5284.0,0.0007564296247437596,4164958.0,4.0,0.1441170871257782,0.05776610225439072,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014995336532593,0.001532521564513445,459.0,844.0,0.001183431944809854,1040616.0,1.0,0.14722828567028046,0.6857954263687134,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
5,0.5007516741752625,0.0010788562940433621,1874.0,5533.0,0.0007224128348752856,4164709.0,4.0,0.13244400918483734,0.12071704119443893,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014996528625488,0.0021412905771285295,458.0,1406.0,0.0014204545877873898,1040054.0,2.0,0.1347571611404419,0.6642546653747559,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
6,0.5006296038627625,0.0010643585119396448,1874.0,5634.0,0.0007094714674167335,4164608.0,4.0,0.12434545904397964,0.453766405582428,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5022501945495605,0.0021412905771285295,458.0,1406.0,0.0014204545877873898,1040054.0,2.0,0.13157349824905396,0.6292440891265869,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
7,0.5004921555519104,0.001070339814759791,1874.0,5592.0,0.0007147963042370975,4164650.0,4.0,0.12129748612642288,0.2517922520637512,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014998316764832,0.0017122810240834951,459.0,707.0,0.0014124293811619282,1040753.0,1.0,0.12852847576141357,0.6854057312011719,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
8,0.5001310110092163,0.000583731394726783,1876.0,4972.0,0.00040209086728282273,4165270.0,2.0,0.11705020070075989,0.6398751735687256,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5022492408752441,0.0021412905771285295,458.0,1406.0,0.0014204545877873898,1040054.0,2.0,0.12621581554412842,0.5407437086105347,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
9,0.5007293820381165,0.0012172445422038436,1874.0,4690.0,0.0008521516574546695,4165552.0,4.0,0.11697537451982498,0.30615806579589844,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014997720718384,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11956607550382614,0.6526772975921631,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
10,0.5003897547721863,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.11017082631587982,0.2227480113506317,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014992952346802,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11646413803100586,0.6832906603813171,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
11,0.500389575958252,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.1078488826751709,0.4403226673603058,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014998912811279,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11727544665336609,0.6477234363555908,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
12,0.5003898739814758,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10946276038885117,0.2853688597679138,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014991760253906,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11607742309570312,0.6818434596061707,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
13,0.5003898739814758,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.1093616709113121,0.27932435274124146,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.501499354839325,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11424951255321503,0.7377824783325195,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
14,0.5003898739814758,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10825729370117188,0.3462320864200592,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014996528625488,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11270894855260849,0.7124568819999695,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
15,0.5003898739814758,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10795742273330688,0.3564789295196533,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014998316764832,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11192703992128372,0.7417900562286377,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
16,0.5003897547721863,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10724099725484848,0.3863636255264282,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014999508857727,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11449909955263138,0.6357564330101013,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
17,0.5004428625106812,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10826399177312851,0.3485155403614044,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5007498860359192,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11404990404844284,0.628854513168335,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
18,0.5004608631134033,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10708649456501007,0.3303513526916504,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.5014992356300354,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.1107054203748703,0.719859778881073,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
19,0.5003899931907654,0.0008515594527125359,1876.0,2817.0,0.0007094714674167335,4167425.0,2.0,0.10758891701698303,0.3421832323074341,0.032798320055007935,47.0,0.0,0.0,2772.0,0.0,0.501499354839325,0.0017181653529405594,459.0,703.0,0.0014204545877873898,1040757.0,1.0,0.11269264668226242,0.6853501200675964,0.03626219928264618,13.0,0.0,0.0,691.0,0.0
